cluster,maternal_age_risk_z,low_knowledge_z,water_no_or_unimproved_z,water_limited_z,sanitation_babs_z,sanitation_unimproved_z
cluster_1,-0.638636,-0.040778,-0.409607,-0.526124,-0.034388,-0.467763
cluster_2,0.908694,0.155071,0.601189,0.786169,-0.019243,0.694039
