c,m,mean_xie_beni,mean_partition_coefficient,mean_modified_partition_coefficient,mean_partition_entropy,mean_pairwise_ari,mean_membership_change,centroid_variation,convergence_rate,mean_minimum_centroid_distance,minimum_centroid_distance,minimum_crisp_cluster_size,empty_crisp_clusters,score_xie_beni,score_centroid_distance,score_mpc,score_partition_entropy,score_pairwise_ari,score_membership_change,score_centroid_variation,score_convergence,score_empty_clusters,score_centroid_collision,hard_diagnostic_penalty,structure_score,fuzzy_quality_score,stability_score,diagnostic_score,rank_balanced,score_balanced,rank_validity_focused,score_validity_focused,rank_stability_focused,score_stability_focused,rank_fuzzy_quality_focused,score_fuzzy_quality_focused,selection_consistency_count,selection_consistency
2,1.5,0.5657825112697663,0.8064280213407466,0.6128560426814935,0.31094422204867156,1.0,1.5218995088423074e-07,9.457315708956623e-07,1.0,6.526421571240429,6.526421571240429,13,0,0.2631578947368421,0.0,0.10526315789473684,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.13157894736842105,0.05263157894736842,0.05263157894736842,0.0,1,0.07894736842105263,1,0.09078947368421053,1,0.06710526315789474,1,0.07105263157894737,4,Top-3 in 4 of 4 weighting schemes
2,1.75,0.5621800357717257,0.7245880383816703,0.4491760767633406,0.4295421341385482,1.0,1.5647848693900092e-07,1.124464131743505e-06,1.0,5.77582890867601,5.77582890867601,15,0,0.21052631578947367,0.05263157894736842,0.21052631578947367,0.05263157894736842,0.0,0.21052631578947367,0.05263157894736842,0.0,0.0,0.0,0.0,0.13157894736842105,0.13157894736842105,0.08771929824561403,0.0,2,0.10526315789473684,2,0.10964912280701755,2,0.09649122807017543,2,0.10964912280701754,4,Top-3 in 4 of 4 weighting schemes
2,2.0,0.5484732006494132,0.6604478339123072,0.32089566782461465,0.5138307722260338,1.0,1.6778751570644224e-07,1.262962811940525e-06,1.0,5.11964204324188,5.11964204324188,15,0,0.10526315789473684,0.10526315789473684,0.42105263157894735,0.15789473684210525,0.0,0.3157894736842105,0.10526315789473684,0.0,0.0,0.0,0.0,0.10526315789473684,0.2894736842105263,0.14035087719298245,0.0,3,0.14210526315789473,3,0.12938596491228072,3,0.13991228070175438,3,0.17543859649122806,4,Top-3 in 4 of 4 weighting schemes
2,2.25,0.5303199577397114,0.6137715428957067,0.22754308579141352,0.5702454437059049,1.0,1.9617284055432983e-07,1.5656924761419432e-06,1.0,4.535230516712643,4.535230516712643,15,0,0.05263157894736842,0.15789473684210525,0.5263157894736842,0.3157894736842105,0.0,0.42105263157894735,0.2631578947368421,0.0,0.0,0.0,0.0,0.10526315789473684,0.42105263157894735,0.22807017543859645,0.0,4,0.19473684210526315,4,0.16666666666666663,5,0.20350877192982453,5,0.24561403508771928,0,Top-3 in 0 of 4 weighting schemes
2,2.5,0.5089811230733167,0.5812262433267421,0.16245248665348416,0.6073809583744947,1.0,1.8138447493959796e-07,1.5575031294174212e-06,1.0,4.023674714706122,4.023674714706122,15,0,0.0,0.21052631578947367,0.6842105263157895,0.3684210526315789,0.0,0.3684210526315789,0.21052631578947367,0.0,0.0,0.0,0.0,0.10526315789473684,0.5263157894736842,0.1929824561403509,0.0,5,0.20526315789473684,5,0.17543859649122806,4,0.2017543859649123,6,0.2807017543859649,0,Top-3 in 0 of 4 weighting schemes
3,1.5,0.887363294008279,0.7340514053917749,0.6010771080876623,0.47874699870178905,1.0,1.61745844088868e-07,1.6440526565045848e-06,1.0,3.2386178695689956,3.2386178695689956,6,0,0.5263157894736842,0.3684210526315789,0.15789473684210525,0.10526315789473684,0.0,0.2631578947368421,0.3157894736842105,0.0,0.0,0.0,0.0,0.4473684210526315,0.13157894736842105,0.1929824561403509,0.0,6,0.26315789473684215,6,0.3043859649122807,7,0.22807017543859648,4,0.22543859649122805,0,Top-3 in 0 of 4 weighting schemes
3,1.75,0.8157896167050158,0.587123890676069,0.38068583601410355,0.716731008731906,1.0,1.445693807546815e-07,1.3594744738186886e-06,1.0,2.8846833762973567,2.8846833762973567,6,0,0.47368421052631576,0.42105263157894735,0.2631578947368421,0.42105263157894735,0.0,0.10526315789473684,0.15789473684210525,0.0,0.0,0.0,0.0,0.4473684210526315,0.3421052631578947,0.08771929824561403,0.0,7,0.27368421052631575,7,0.31491228070175437,6,0.2070175438596491,7,0.28859649122807013,0,Top-3 in 0 of 4 weighting schemes
5,1.5,0.555446806458412,0.725940808130968,0.6574260101637099,0.5606012343541911,0.9669667369710966,0.008955742481076672,0.37972032829200975,1.0,3.6501299801728577,3.6501299801728577,1,0,0.15789473684210525,0.3157894736842105,0.0,0.2631578947368421,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.0,0.0,0.0,0.0,0.23684210526315788,0.13157894736842105,0.8947368421052632,0.0,8,0.3894736842105263,8,0.32894736842105265,13,0.5263157894736842,8,0.3026315789473684,0,Top-3 in 0 of 4 weighting schemes
3,2.0,0.7220018496463769,0.48934028471674623,0.23401042707511946,0.8680333599665087,1.0,4.580133317316662e-06,6.859346553580905e-05,1.0,2.5786085832240193,2.5786085832240193,9,0,0.3684210526315789,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.0,0.6842105263157895,0.631578947368421,0.0,0.0,0.0,0.0,0.42105263157894735,0.47368421052631576,0.4385964912280702,0.0,9,0.39473684210526316,10,0.39035087719298245,9,0.3956140350877193,10,0.4035087719298246,0,Top-3 in 0 of 4 weighting schemes
4,1.5,0.6391560804732219,0.7184060919049229,0.6245414558732303,0.552772945115425,0.8746511870831033,0.03604946103669992,0.7368317494113151,1.0,3.755619463305313,3.755619463305313,2,0,0.3157894736842105,0.2631578947368421,0.05263157894736842,0.21052631578947367,0.9473684210526315,0.9473684210526315,1.0,0.0,0.0,0.0,0.0,0.2894736842105263,0.13157894736842105,0.9649122807017543,0.0,10,0.43157894736842106,9,0.37192982456140355,17,0.5745614035087719,9,0.33245614035087717,0,Top-3 in 0 of 4 weighting schemes
