c,m,seed,converged,iterations,final_objective,xie_beni,partition_coefficient,modified_partition_coefficient,partition_entropy,minimum_centroid_distance
2,1.5,0,True,31,132.9312667026456,0.56578246946648,0.8064280247654241,0.6128560495308482,0.31094421871712563,6.526422053448307
2,1.5,1,True,23,132.9312667025258,0.5657822417725241,0.8064280337094595,0.612856067418919,0.31094421062130345,6.526424679944633
2,1.5,2,True,24,132.93126670256876,0.5657823297141118,0.8064280300839872,0.6128560601679744,0.31094421392517635,6.526423665520101
2,1.5,3,True,23,132.9312667026934,0.5657825520386652,0.8064280201179119,0.6128560402358239,0.31094422310633474,6.526421100961917
2,1.5,4,True,26,132.93126670256277,0.5657823172486609,0.8064280308809484,0.6128560617618968,0.31094421316386234,6.526423809311655
2,1.5,5,True,21,132.93126670286333,0.5657828106010863,0.8064280046778811,0.6128560093557622,0.3109442377686853,6.526418118395904
2,1.5,6,True,22,132.9312667025661,0.5657823264957581,0.8064280292050175,0.6128560584100351,0.31094421485143564,6.5264237026444425
2,1.5,7,True,23,132.93126670260511,0.5657824015686975,0.8064280256855463,0.6128560513710926,0.31094421811127426,6.526422836662755
2,1.5,8,True,22,132.93126670282163,0.5657827505526885,0.8064280087955792,0.6128560175911584,0.31094423381291864,6.5264188110651284
2,1.5,9,True,21,132.93126670290246,0.5657828537808932,0.8064280073815644,0.6128560147631288,0.3109442347496751,6.5264176203093
2,1.5,10,True,25,132.9312667025356,0.5657822641699607,0.8064280319448417,0.6128560638896834,0.31094421233355274,6.5264244215854745
2,1.5,11,True,24,132.9312667025644,0.5657823228590397,0.8064280295058226,0.6128560590116452,0.31094421455863247,6.526423744594744
2,1.5,12,True,23,132.93126670252363,0.5657822362982063,0.8064280342992405,0.612856068598481,0.31094421003875794,6.526424743092052
2,1.5,13,True,22,132.93126670264857,0.5657824780055675,0.8064280229050503,0.6128560458101007,0.310944220599231,6.526421954948187
2,1.5,14,True,23,132.93126670271806,0.5657825941709513,0.8064280169566641,0.6128560339133282,0.310944226163517,6.526420614957825
2,1.5,15,True,23,132.93126670254435,0.5657822808275814,0.80642803204517,0.61285606409034,0.3109442121446728,6.5264242294363575
2,1.5,16,True,22,132.93126670269925,0.5657825604444159,0.806428020203802,0.612856040407604,0.3109442229745232,6.526421003999972
2,1.5,17,True,24,132.931266702939,0.5657829001844632,0.8064280056488488,0.6128560112976975,0.3109442363063708,6.526417085035958
2,1.5,18,True,23,132.93126670288277,0.5657828313727151,0.8064280067660448,0.6128560135320895,0.31094423550118017,6.526417878791554
2,1.5,19,True,24,132.93126670278946,0.5657827038228609,0.8064280112361305,0.612856022472261,0.31094423152520084,6.526419350102325
2,1.75,0,True,26,116.89400528979358,0.5621799436371182,0.7245880405349472,0.4491760810698944,0.42954212958863286,5.775829855262381
2,1.75,1,True,20,116.89400528992675,0.5621802060655408,0.7245880296354823,0.4491760592709646,0.42954214732758733,5.775827159080594
2,1.75,2,True,22,116.89400528969317,0.5621797104897077,0.7245880584044883,0.4491761168089765,0.4295421056198332,5.775832250614502
2,1.75,3,True,21,116.89400528978987,0.5621799293325623,0.7245880468005099,0.44917609360101984,0.4295421229344477,5.7758300022271305
2,1.75,4,True,24,116.89400528979478,0.5621799441219401,0.7245880449681601,0.4491760899363202,0.42954212515563883,5.775829850281365
2,1.75,5,True,19,116.89400528970789,0.5621797196334991,0.7245880490872825,0.44917609817456494,0.42954211520050384,5.775832156671549
2,1.75,6,True,19,116.89400528988313,0.5621801260547717,0.7245880304442741,0.4491760608885482,0.42954214444042105,5.775827981108498
2,1.75,7,True,21,116.89400528969206,0.5621797126937765,0.7245880552938576,0.4491761105877152,0.4295421087963994,5.775832227969877
2,1.75,8,True,20,116.89400528995984,0.5621802666760353,0.7245880215853104,0.4491760431706209,0.42954215697340276,5.775826536370579
2,1.75,9,True,19,116.89400528976586,0.5621798467007487,0.7245880552924107,0.4491761105848213,0.42954211227532857,5.7758308511849155
2,1.75,10,True,23,116.89400529003277,0.5621803954774622,0.7245880158357577,0.44917603167151543,0.4295421660806535,5.775825213069959
2,1.75,11,True,22,116.89400528968778,0.5621797022582123,0.7245880563558035,0.44917611271160696,0.4295421074606083,5.77583233518472
2,1.75,12,True,20,116.89400528999272,0.5621803156069007,0.7245880254450995,0.44917605089019896,0.42954215437190674,5.775826033656925
2,1.75,13,True,19,116.89400529016288,0.5621805993034124,0.7245880074410066,0.4491760148820132,0.4295421797874226,5.775823118972042
2,1.75,14,True,21,116.89400528975207,0.5621798550265309,0.7245880473997347,0.4491760947994694,0.4295421204053651,5.775830765645578
2,1.75,15,True,20,116.89400529000096,0.5621803354954539,0.7245880230537289,0.44917604610745787,0.42954215728588635,5.775825829322661
2,1.75,16,True,20,116.89400528964038,0.5621795575557627,0.724588069441481,0.44917613888296204,0.42954209058393655,5.775833821856378
2,1.75,17,True,23,116.89400528967258,0.5621796480363148,0.7245880637649633,0.44917612752992664,0.4295420986239969,5.775832892259979
2,1.75,18,True,21,116.89400529006707,0.5621804499979087,0.7245880152722158,0.44917603054443167,0.42954216806012957,5.775824652929382
2,1.75,19,True,22,116.89400529006717,0.562180451270855,0.7245880115768925,0.4491760231537849,0.42954217179886284,5.7758246398511615
2,2.0,0,True,26,101.08751247519731,0.5484735041097966,0.6604478067527707,0.3208956135055414,0.5138308066510041,5.119639210636374
2,2.0,1,True,20,101.08751247497398,0.5484729035118348,0.6604478595736966,0.3208957191473931,0.5138307395808047,5.1196448168237305
2,2.0,2,True,22,101.0875124749341,0.5484727786154594,0.6604478702936721,0.32089574058734427,0.5138307259348612,5.1196459826510345
2,2.0,3,True,21,101.087512474969,0.548472883487151,0.6604478619937407,0.32089572398748145,0.5138307365933737,5.119645003741269
2,2.0,4,True,24,101.08751247516746,0.5484734320936318,0.660447814506157,0.32089562901231394,0.5138307969896778,5.1196398828592375
2,2.0,5,True,18,101.08751247521343,0.5484733789074683,0.6604478097185156,0.32089561943703115,0.5138308018459675,5.119640379318284
2,2.0,6,True,19,101.0875124748224,0.5484723832592737,0.6604479015436132,0.32089580308722643,0.5138306857995969,5.119649673050506
2,2.0,7,True,21,101.08751247490461,0.5484726835912169,0.6604478766797698,0.32089575335953957,0.513830717571461,5.119646869641572
2,2.0,8,True,20,101.08751247514128,0.5484733610307849,0.660447818105673,0.320895636211346,0.513830792077783,5.119640546183751
2,2.0,9,True,18,101.08751247531642,0.5484736355181875,0.6604478049351747,0.3208956098703495,0.5138308102235968,5.11963798402872
2,2.0,10,True,24,101.08751247536719,0.5484738910533428,0.6604477742840636,0.3208955485681273,0.5138308480812149,5.119635598779759
2,2.0,11,True,22,101.08751247495003,0.5484728312585209,0.6604478644224656,0.3208957288449312,0.513830733229135,5.1196454912618385
2,2.0,12,True,20,101.08751247506146,0.5484731466846641,0.6604478401134888,0.32089568022697756,0.513830764539629,5.119642546963593
2,2.0,13,True,19,101.08751247503587,0.5484730831187228,0.6604478445722995,0.3208956891445991,0.5138307587320186,5.119643140310035
2,2.0,14,True,21,101.08751247489413,0.5484726487053916,0.6604478798470126,0.3208957596940252,0.5138307135619439,5.119647195278529
2,2.0,15,True,20,101.08751247505724,0.5484731409101626,0.660447839910948,0.32089567982189604,0.5138307647045517,5.119642600864732
2,2.0,16,True,19,101.08751247509727,0.5484731883621048,0.6604478396862585,0.32089567937251706,0.5138307654996002,5.119642157932507
2,2.0,17,True,23,101.0875124750527,0.5484731219511481,0.6604478422716069,0.3208956845432138,0.5138307617970695,5.119642777834784
2,2.0,18,True,21,101.08751247538719,0.5484739332950557,0.6604477718504662,0.32089554370093243,0.5138308513364562,5.119635204482252
2,2.0,19,True,22,101.08751247546115,0.548474083524345,0.6604477571847531,0.32089551436950625,0.5138308697709301,5.119633802195097
2,2.25,0,True,28,86.58443721452065,0.5303194761786185,0.6137715869062277,0.22754317381245537,0.5702453921329713,4.53523463494924
2,2.25,1,True,21,86.58443721444743,0.5303191384998652,0.6137716183424248,0.22754323668484955,0.5702453552936981,4.535237522741264
2,2.25,2,True,23,86.58443721462186,0.530319898752343,0.6137715484817581,0.22754309696351616,0.570245437159575,4.535231021150067
2,2.25,3,True,22,86.58443721455247,0.5303196160716933,0.6137715746679868,0.22754314933597364,0.5702454064728959,4.535233438599971
2,2.25,4,True,25,86.5844372149869,0.5303211348153267,0.6137714347070621,0.22754286941412416,0.5702455704862428,4.5352204505243785
2,2.25,5,True,19,86.58443721442188,0.5303189363620157,0.6137716338942033,0.2275432677884066,0.5702453370762499,4.535239251404416
2,2.25,6,True,19,86.58443721463064,0.5303199201843486,0.6137715453016435,0.22754309060328692,0.5702454408889541,4.535230837866403
2,2.25,7,True,22,86.58443721458204,0.5303197360148196,0.6137715629034947,0.22754312580698932,0.5702454202607321,4.5352324128609
2,2.25,8,True,21,86.58443721471619,0.5303202476948775,0.6137715155454528,0.22754303109090568,0.5702454757577347,4.535228037040506
2,2.25,9,True,19,86.58443721443527,0.5303190390290652,0.6137716299143396,0.2275432598286793,0.5702453417275777,4.535238373405675
2,2.25,10,True,27,86.58443721481008,0.5303205766642468,0.6137714857888582,0.2275429715777164,0.5702455106268052,4.53522522374249
2,2.25,11,True,23,86.58443721467934,0.5303201160028093,0.6137715280848002,0.22754305616960036,0.5702454610626249,4.535229163252845
2,2.25,12,True,21,86.58443721455302,0.5303196180610376,0.6137715746505931,0.22754314930118613,0.5702454064929127,4.535233421587339
2,2.25,13,True,19,86.5844372152293,0.5303218134966803,0.6137713729594014,0.22754274591880286,0.5702456428434537,4.535214646565025
2,2.25,14,True,22,86.58443721442652,0.5303190320141512,0.6137716277050677,0.22754325541013531,0.5702453443230993,4.535238433396347
2,2.25,15,True,21,86.58443721454967,0.5303196038266474,0.613771575747473,0.22754315149494597,0.5702454052080258,4.535233543318151
2,2.25,16,True,20,86.58443721440261,0.5303188966784961,0.613771642000545,0.22754328400109003,0.5702453275668408,4.535239590773802
2,2.25,17,True,25,86.58443721441343,0.5303189674134782,0.6137716340982547,0.2275432681965095,0.5702453368302269,4.53523898585495
2,2.25,18,True,22,86.58443721518819,0.5303217024439263,0.6137713825647058,0.22754276512941152,0.5702456315889185,4.535215596266902
2,2.25,19,True,23,86.58443721518287,0.5303216845897822,0.6137713836498432,0.22754276729968637,0.570245630318556,4.535215748952192
2,2.5,0,True,30,73.72708110639965,0.5089820744959079,0.5812261611339226,0.16245232226784512,0.6073810501145253,4.023667193376235
2,2.5,1,True,22,73.7270811062236,0.5089813382123184,0.5812262248037763,0.16245244960755256,0.6073809790468018,4.023673013938581
2,2.5,2,True,25,73.72708110600276,0.508980267681189,0.5812263171665055,0.16245263433301105,0.6073808759599523,4.023681476867966
2,2.5,3,True,23,73.72708110676494,0.5089834036032216,0.581226046551876,0.16245209310375208,0.6073811779968852,4.023656686392622
2,2.5,4,True,27,73.72708110627161,0.5089815466651587,0.581226206735978,0.16245241347195605,0.6073809992154595,4.023671366049009
2,2.5,5,True,20,73.72708110586008,0.5089794170372405,0.5812263897238397,0.16245277944767933,0.6073807950085726,4.023688201537269
2,2.5,6,True,20,73.72708110614684,0.5089809808325559,0.5812262552896532,0.16245251057930643,0.6073809450343358,4.023675839148686
2,2.5,7,True,24,73.72708110602532,0.5089803856257088,0.5812263069089061,0.16245261381781217,0.6073808874115407,4.0236805444727874
2,2.5,8,True,23,73.72708110594095,0.508979924991816,0.581226346626447,0.16245269325289402,0.6073808430832321,4.023684185957133
2,2.5,9,True,20,73.72708110586365,0.508979467036451,0.5812263870616985,0.16245277412339698,0.6073807979183061,4.0236878062734185
2,2.5,10,True,33,73.72708110630771,0.5089816994762228,0.5812261935196279,0.1624523870392558,0.6073810139675122,4.023670158027211
2,2.5,11,True,25,73.72708110608225,0.5089806751842929,0.5812262819326074,0.16245256386521478,0.6073809152876224,4.023678255406649
2,2.5,12,True,22,73.7270811065811,0.5089827649599136,0.5812261017463496,0.16245220349269918,0.6073811163906399,4.023661735048431
2,2.5,13,True,21,73.72708110592913,0.5089798601363353,0.58122635242989,0.16245270485977992,0.6073808365983465,4.023684698664654
2,2.5,14,True,23,73.72708110622888,0.508981359516817,0.5812262228415227,0.1624524456830454,0.607380981241539,4.023672845519327
2,2.5,15,True,22,73.72708110656887,0.5089827196223176,0.5812261055993769,0.16245221119875386,0.6073811120924665,4.023662093455442
2,2.5,16,True,21,73.72708110594147,0.5089799331873059,0.5812263465483032,0.16245269309660637,0.6073808431477412,4.023684121168611
2,2.5,17,True,27,73.72708110612598,0.5089808887762838,0.5812262635576465,0.162452527115293,0.6073809357941153,4.023676566885834
2,2.5,18,True,24,73.72708110646062,0.5089823133554433,0.5812261405624976,0.1624522811249951,0.6073810730731019,4.02366530511729
2,2.5,19,True,25,73.72708110624743,0.5089814410698346,0.5812262157944165,0.16245243158883294,0.6073809891071974,4.023672200815275
3,1.5,0,True,49,103.45790234825554,0.8873634276301988,0.7340513913006887,0.6010770869510331,0.4787470257899519,3.2386173818899486
3,1.5,1,True,58,103.45790234815782,0.8873632979668674,0.7340514049744601,0.6010771074616901,0.47874699950411004,3.2386178551209386
3,1.5,2,True,57,103.4579023483179,0.8873635079273429,0.7340513828328434,0.6010770742492652,0.4787470420681331,3.2386170888303636
3,1.5,3,True,47,103.45790234819083,0.8873633423309617,0.7340514002960001,0.6010771004440002,0.4787470084977724,3.2386176932057134
3,1.5,4,True,56,103.45790234834968,0.8873635481417878,0.7340513785919638,0.6010770678879457,0.478747050220591,3.2386169420601885
3,1.5,5,True,50,103.4579023483477,0.8873635456568815,0.7340513788540071,0.6010770682810106,0.47874704971684945,3.238616951129321
3,1.5,6,True,52,103.45790234842808,0.8873636454581153,0.734051368329287,0.6010770524939304,0.4787470699490364,3.238616586886052
3,1.5,7,True,56,103.45790234790708,0.887362939560123,0.7340514427702398,0.6010771641553597,0.4787469268469651,3.238619163195711
3,1.5,8,True,63,103.45790234803113,0.8873631219632333,0.7340514235349851,0.6010771353024776,0.4787469638241188,3.2386184974800423
3,1.5,9,True,55,103.45790234786959,0.8873628821756913,0.7340514488216677,0.6010771732325015,0.4787469152139017,3.2386193726314616
3,1.5,10,True,49,103.45790234788413,0.8873629045523294,0.7340514464619577,0.6010771696929366,0.4787469197501304,3.2386192909635216
3,1.5,11,True,58,103.45790234823383,0.8873633992556849,0.734051394292956,0.6010770914394339,0.4787470200377561,3.2386174854481142
3,1.5,12,True,48,103.45790234806462,0.8873631694251097,0.7340514185296101,0.6010771277944151,0.4787469734461478,3.2386183242587574
3,1.5,13,True,54,103.45790234827517,0.8873634531305736,0.7340513886115144,0.6010770829172716,0.4787470309594941,3.2386172888215077
3,1.5,14,True,52,103.45790234788211,0.88736290145417,0.7340514467886733,0.6010771701830099,0.478746919122064,3.238619302270863
3,1.5,15,True,58,103.45790234791843,0.8873629567124452,0.7340514409614536,0.6010771614421804,0.47874693032411386,3.238619100594952
3,1.5,16,True,56,103.45790234819506,0.8873633480294911,0.734051399695067,0.6010770995426006,0.47874700965298306,3.238617672407844
3,1.5,17,True,60,103.45790234842319,0.887363639481282,0.7340513689595874,0.6010770534393811,0.47874706873738,3.238616608699619
3,1.5,18,True,60,103.45790234825705,0.8873634295941276,0.7340513910935803,0.6010770866403704,0.4787470261880873,3.2386173747222187
3,1.5,19,True,52,103.45790234824945,0.8873634197191648,0.7340513921349564,0.6010770882024346,0.478747024186195,3.2386174107627657
3,1.75,0,True,94,84.71861085138396,0.8157896217123504,0.5871239009631635,0.3806858514447452,0.7167309924473806,2.8846833585888936
3,1.75,1,True,104,84.71861085146111,0.8157896162251426,0.5871238896885648,0.38068583453284716,0.7167310102951152,2.884683377994368
3,1.75,2,True,101,84.71861085142741,0.8157896186158465,0.5871238946006642,0.38068584190099625,0.7167310025192414,2.8846833695396557
3,1.75,3,True,89,84.71861085159942,0.815789606555003,0.5871238698211426,0.38068580473171393,0.7167310417453411,2.8846834121928246
3,1.75,4,True,101,84.71861085152604,0.8157896116602148,0.5871238803095666,0.38068582046434996,0.7167310251421122,2.8846833941382273
3,1.75,5,True,91,84.71861085117452,0.8157896369608197,0.5871239322983155,0.38068589844747325,0.716730942843748,2.8846833046629357
3,1.75,6,True,98,84.71861085148524,0.8157896145233179,0.5871238861919723,0.38068582928795847,0.7167310158302364,2.8846833840128654
3,1.75,7,True,95,84.71861085126054,0.8157896306332116,0.587123919294549,0.3806858789418235,0.7167309634287397,2.884683327040388
3,1.75,8,True,110,84.71861085141634,0.8157896194019658,0.5871238962159089,0.3806858443238633,0.7167309999623027,2.8846833667595497
3,1.75,9,True,99,84.71861085123246,0.8157896326885549,0.5871239235183392,0.3806858852775088,0.7167309567424692,2.884683319771706
3,1.75,10,True,95,84.71861085127773,0.8157896293794766,0.5871239167181385,0.3806858750772077,0.7167309675072046,2.8846833314742004
