cluster,risk_rank,maternal_age_risk_z,low_knowledge_z,water_no_or_unimproved_z,water_limited_z,sanitation_babs_z,sanitation_unimproved_z,family_score,water_score,sanitation_score,overall_risk_score,dominant_dimension,dominant_dimension_score,dominance_interpretation,dominant_indicator,highest_centroid_indicator,highest_centroid_value,most_elevated_risk_indicator,most_elevated_risk_value,most_distinguishing_indicator,most_distinguishing_value,cluster_label
1,1,-0.638636,-0.040778,-0.409607,-0.526124,-0.034388,-0.467763,-0.339707,-0.46786550000000005,-0.2510755,-0.3528826666666667,sanitation,-0.2510755,Seluruh dimensi berada di bawah rata-rata; sanitasi merupakan dimensi yang relatif paling mendekati rata-rata.,sanitation_babs_z,sanitation_babs_z,-0.034388,Tidak ada indikator di atas rata-rata,,maternal_age_risk_z,0.638636,Profil faktor risiko relatif lebih rendah
2,2,0.908694,0.155071,0.601189,0.786169,-0.019243,0.694039,0.5318825,0.6936789999999999,0.337398,0.5209864999999999,water,0.6936789999999999,Air minum merupakan dimensi risiko paling menonjol pada klaster ini.,maternal_age_risk_z,maternal_age_risk_z,0.908694,maternal_age_risk_z,0.908694,maternal_age_risk_z,0.908694,Profil faktor risiko relatif lebih tinggi
