Klaster,Label Klaster,Jumlah Provinsi,Rata-rata Prevalensi Stunting (%),Median (%),Min (%),Maks (%),Std. Deviasi
1,Profil faktor risiko relatif lebih rendah,23,19.6,18.8,8.6,29.8,4.84
2,Profil faktor risiko relatif lebih tinggi,13,26.97,26.1,20.8,37.0,4.83
