Klaster,Skor Faktor Keluarga,Skor Faktor Air,Skor Faktor Sanitasi,Skor Risiko Keseluruhan,Dimensi Dominan,Indikator Dominan,Label Klaster,Jumlah Provinsi,Rata-rata Max. Membership
2,0.5319,0.6937,0.3374,0.521,water,maternal_age_risk_z,Profil faktor risiko relatif lebih tinggi,13,0.8667
1,-0.3397,-0.4679,-0.2511,-0.3529,sanitation,sanitation_babs_z,Profil faktor risiko relatif lebih rendah,23,0.8614
