,Risiko Usia Ibu Hamil (z),Rendahnya Pengetahuan Stunting (z),Air Minum Tidak Layak/Tanpa Akses (z),Air Minum Akses Terbatas (z),Sanitasi BABS (z),Sanitasi Tidak Layak (z)
Klaster 1 (Risiko Rendah),-0.6386,-0.0408,-0.4096,-0.5261,-0.0344,-0.4678
Klaster 2 (Risiko Tinggi),0.9087,0.1551,0.6012,0.7862,-0.0192,0.694
